country,str,LatLong_raw3,Lat,Long,Freq
Cádiz,"Cadiz  Cadice,Cadix,Cadiz,Cádiz,Provincia de Cadis,Provincia de Cadiz,Provincia de Cádiz,Província de Cadis...36.5-5.75",36.5-5.75,,,3
Calabria,"Calabria  Bruttium,Calabbria,Calabre,Calabria,Calabrie,Calabrien,Calabrië,Calavria,Calàbria,Calábria,Categoria...39.016.5",39.016.5,,,3
Cocos Island,"Cocos Island Airport  CCK,YPCC-12.18833396.833889","ocos Island Airport  CCK,YPCC-12.18833396.833889",,,3
Corfu Island,"Corfu  CFU,Corcyra,Corfou,Corfu,Corfù,Corfú,Kerkira,Kerkyra,Korfu,Krf,Kérkyra,ke ji la shi,keleukila,keruki...39.62069419.91975",39.62069419.91975,,,3
Devon,Devon18.165947972921863-77.52507067092198,evon18.165947972921863-77.52507067092198,,,3
Eniwetok Atoll,"Enewetak  Atol Eniwetok,BABACOOTE WW2,ENT,Enewetak,Eniuetakku,Eniwetak,Eniwetakku-to,Eniwetakku-to,Eniwetok,Fr...11.3515330504512162.341773509979",11.3515330504512162.3417735,,,3
Fernando de Noronha,San Fernando  San Fernando10.279694-61.468351,an Fernando  San Fernando10.279694-61.468351,,,3
Grand'Anse,"Grandans  Departement de la Grand'Anse,Depatman Grandans,Département de la Grand’Anse,Grand'Anse,Grandans,Gran...18.5-74.083333",18.5-74.083333,,,3
Guadalcanal Province,"Honiara  HIR,Honiara,Honiaro,Khoniara,Oniara,ho ni xa ra,honiala,honiara,huo ni ya la,hwnyara,<U+039F><U+03BD><U+03B9><U+03AC><U+03C1>a,<U+0425><U+043E><U+043D><U+0438><U+0430><U+0440><U+0430>,...-9.4333333159.95",-9.4333333159.95,,,3
Guanacaste,"Provincia de Guanacaste  Guanacaste,Guanacasti,Provincia de Guanacaste10.5-85.25","rovincia de Guanacaste  Guanacaste,Guanacasti,Provincia de Guanacaste10.5-85.25",,,3
Guerrrero,"Guerrero  Estado de Guerrero,Estat de Guerrero,GRO,Guerrero,ge lei luo zhou,gelelo ju,gerero zhou,<U+30B2><U+30EC><U+30FC><U+30ED><U+5DDE>,<U+683C><U+96F7><U+7F85><U+5DDE>,<U+AC8C>...17.6666667-100.0",17.6666667-100.0,,,3
Gulf of Panama,"Gulf Province  Gulf,Gulf District,Gulf Province-7.724600166486452145.08544921875","ulf Province  Gulf,Gulf District,Gulf Province-7.724600166486452145.08544921875",,,3
Hong Kong,"Changwat Mae Hong Son  Changwat Mae Hong Son,Mae Hong Son,Mae Hong Sorn,Mae Rong Son,Mae Rong Sorn,Maehongsorn,Mao Hong Son...18.7597.9166667",18.7597.916666,,,3
Isle of Wight,"Puerto Rico  Boluchen,Borequem,Borichen,Borichena,Boricua,Borigua,Boriken,Borikén,Boringquen,Borinquen,Boriquen,B...18.2493993-66.5010052",18.2493993-66.5010052,,,3
Istria County,"Istria  Istarska,Istarska Zupanija,Istarska Županija,Istria,Istrien,iseuteula ju,<U+C774><U+C2A4><U+D2B8><U+B77C> <U+C8FC>45.2513.9166667","stria  Istarska,Istarska Zupanija,Istarska Županija,Istria,Istrien,iseuteula ju,<U+C774><U+C2A4><U+D2B8><U+B77C> <U+C8FC>45.2513.9166667",,,3
Java,,,,,3
La Libertad,"La Paz  A Paz,Chukiyawu,Chuqi Yapu,Chuqiyapu,Ciudad La Paz,Gorad La-Pas,LPB,La Pas,La Pasas,La Paz,La-Pas,La...-16.5-68.15",-84.65,,,3
Lake Nicaragua (fresh water),"Salt Lake City  Cathair Salt Lake,Civitas Lacus Salsi,Gorad Solt-Lehjk-Sici,Kota Salt Lake,Lungsod ng Salt Lake,SLC,...40.7607794-111.8910474",40.7607794-111.891047,,,3
Louisiade Archipelago,Louisiade Archipelago  Louisiade Archipelago-11.2153.0,ouisiade Archipelago  Louisiade Archipelago-11.2153.0,,,3
Manila,Manila6.213378374058891-75.57324245193287,anila6.213378374058891-75.57324245193287,,,3
Mombasa,Mombasa  Mombasa-4.0239.66667,ombasa  Mombasa-4.0239.66667,,,3
New York ,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,,,3
Northern Taiwan,"Northern Africa  Africa del Norte,Afrique du Nord,Noord-Afrika,Nordafrica,Nordafrika,Norte de Africa,Norte de África,...32.953368145799329.9755859375",32.953368145799329.9,,,3
Okayama Prefecture,"Okayama  OKJ,Okajama,Okayama,Okayama-shi,Okayamashi,gang shan,gang shan shi,okayama,okayama si,okayamashi,<U+041E><U+043A><U+0430>...34.65133.933333",34.65133.933333,,,3
Primorje-Gorski Kotar County ,"Rijeka  Estado libre de Fiume,Fiume,Fkumen,Flumen Sancti Viti,RJK,Reka,Rieka,Rijeka,Rijeko,Reka,Sankt Veit a...45.3267314.44241",45.3267314.44241,,,3
Red Sea State,Red River Delta  21.03498105.8455,ed River Delta  21.03498105.8455,,,3
Saint-Gilles-les-Bains,Saint-Gilles-les-Bois  Saint-Gilles-les-Bois48.64972222222222-3.102777777777778,aint-Gilles-les-Bois  Saint-Gilles-les-Bois48.64972222222222-3.102777777777778,,,3
Saint-Leu,"Saint-Leu  Sen Le,Sen-Le,sn lw  rywnywn,<U+0421><U+0435><U+043D> <U+041B><U+0435>,<U+0421><U+0435><U+043D>-<U+041B><U+0435>,<U+0633><U+0646> <U+0644><U+0648><U+060C> <U+0631><U+0626><U+0648><U+0646><U+06CC><U+0648><U+0646>,<U+0633><U+06CC><U+0646><U+0679>-<U+0644><U+0648><U+060C> <U+0631><U+0627><U+0646><U+0648><U+06BA>-21.1555.2833333","aint-Leu  Sen Le,Sen-Le,sn lw  rywnywn,<U+0421><U+0435><U+043D> <U+041B><U+0435>,<U+0421><U+0435><U+043D>-<U+041B><U+0435>,<U+0633><U+0646> <U+0644><U+0648><U+060C> <U+0631><U+0626><U+0648><U+0646><U+06CC><U+0648><U+0646>,<U+0633><U+06CC><U+0646><U+0679>-<U+0644><U+0648><U+060C> <U+0631><U+0627><U+0646><U+0648><U+06BA>-21.1555.2833333",,,3
Saint-Pierre,Commune de Saint-Pierre  Saint-Pierre46.7833333-56.2,ommune de Saint-Pierre  Saint-Pierre46.7833333-56.2,,,3
Santiago de Cuba Province,"Santiago  Ciles Santjagas,CiudadSantiago,SCL,Sanctiacobi,Sant'jago,Santiago,Santiago de Chile,Santiago de Xile...-33.456937736669424-70.64826965332031",-104.1051377,,,3
Sinaloa,"Sinaloa  Estado de Sinaloa,SIN,Sinaloa,shinaroa zhou,xi na luo ya zhou,<U+30B7><U+30CA><U+30ED><U+30A2><U+5DDE>,<U+932B><U+90A3><U+7F85><U+4E9E><U+5DDE>25.0-107.5","inaloa  Estado de Sinaloa,SIN,Sinaloa,shinaroa zhou,xi na luo ya zhou,<U+30B7><U+30CA><U+30ED><U+30A2><U+5DDE>,<U+932B><U+90A3><U+7F85><U+4E9E><U+5DDE>25.0-107.5",,,3
St. Andrew Parish,"St Petersburg  Agia Petroupole,Betuyrbukh,LED,Leningrad,Leningrado,Lungsod ng Sankt-Peterburg,Peterburg,Peterburgo,...59.9386330.31413",59.9386330.31413,,,3
St. Johns Reef,"St Petersburg  Agia Petroupole,Betuyrbukh,LED,Leningrad,Leningrado,Lungsod ng Sankt-Peterburg,Peterburg,Peterburgo,...59.9386330.31413",59.9386330.31413,,,3
The Exuma Cays,"The Valley  De Balei,El Valle,Gorad Vali,La-Valo,The Valley,Vali,Valis,Valley,Valli,bare,d wly,deobaelli,dy wyly...18.2170409282136-63.0578327178955",18.2170409282136-63.05783,,,3
Trinidad,"TrinidadMunicipio de Trinidad,Trinidad5.3477778-71.2019444","rinidadMunicipio de Trinidad,Trinidad5.3477778-71.2019444",,,3
Tuamotos,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,3
Tutuila Island,Tutuila-18.95-169.9,utuila-18.95-169.9,,,3
Upolu Island,"Upolu  Ojolava,Opoloo,Upolu,Upolu Island,Upolu To,Upolu Tó,Vostrau Upolu,awpwlw,upollu seom,uporu dao,wu bo...-13.9166667-171.75",-185.6666667,,,3
Vava’u,"Vava‘u  Vava'u,Vava`u,Vava`u Islands Division,Vava‘u,Vava‘u Islands Division,Vava’u-18.666667-174.0","ava‘u  Vava'u,Vava`u,Vava`u Islands Division,Vava‘u,Vava‘u Islands Division,Vava’u-18.666667-174.0",,,3
Vera Cruz,"Dili  DIL,Delhi,Dilhi,Dili,Dili khot,Dilis,Dilli,Dilly,Dilo,Dily,Díli,Gorad Dyli,Nova Dili,Ntili,di li,dil...-8.5586111125.5736111",-8.5586111125.5736111,,,3
Viti Levu,"Fiji  Bidji,Feeje,Fichi,Fici,Ficiyuaens,Ficiyuäns,FidIi,Fidi,Fidji,Fidjieyjar,Fidj·i,Fidschi,Fidsi,Fidsí,F...-18.0178.0",-18.0178.0,,,3
Vitu Levu,Vitu9.4694444-70.4083333,itu9.4694444-70.4083333,,,3
Westerm Australia,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,3
Western Caroline Islands,"Western Asia  Asia Occidental,Asia occidentale,Asie de l'Ouest,Sudoeste Asiatico,Sudoeste Asiático,Vorderasien,Wes...25.83944940206318543.2421875",25.83944940206318543.24,,,3
Westmoreland Parish,"Westmoreland  Parish of Westmoreland,Westmoreland,Westmoreland Parish,Westmorland18.2333333-78.15","estmoreland  Parish of Westmoreland,Westmoreland,Westmoreland Parish,Westmorland18.2333333-78.15",,,3
Yasawa Islands,Yasawa Trough-16.6666667176.6666667,asawa Trough-16.6666667176.6666667,,,3
Zamboanga del Sur Province,"Zamboanga International Airport  Aeroporto internazionale di Zamboanga,Aeropuerto Internacional de Zamboanga,Aerorport international ...6.92242122.06042",6.92,,,3
 Split-Dalmatia County,Sarou7.91.1666667,arou7.91.1666667,,,2
1000 miles west of Hawaii,"Sofia  Gorad Safija,SOF,Serdica,Sofi,Sofia,Sofiae,Sofie,Sofii,Sofij,Sofija,Sofija osh,Sofijo,Sofio,Sofiya,S...42.697513528180523.324146270752",42.697513528180523.32414627075,,,2
Alagoas,"Alagoas  AL,Alagoas,Estado de Alagoas-9.583333-36.416667","lagoas  AL,Alagoas,Estado de Alagoas-9.583333-36.416667",,,2
Alinglaplap Atoll,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,2
Anzoategui,"Anzoátegui  Anzoategui,Anzoátegui,Estado Anzoategui,Estado Anzoátegui9.0-64.333333","nzoátegui  Anzoategui,Anzoátegui,Estado Anzoategui,Estado Anzoátegui9.0-64.333333",,,2
Ascension Island,"Georgetown  ASI,Corctaun,Dzhordzhtaun,Dzordztaun,Dzordztauna,Dzordztaunas,Džordžtauna,Džordžtaunas,Georgetown,Ge...-7.928611-14.411944",-22.340555,,,2
Berry Islands,"Berry Islands District  Berry Islands,Berry Islands District,Distretto di Berry Islands,Nichollstown and Berry Islands Distr...25.72111-77.83139",25.72111-77.8,,,2
Between Hawaii & Wake Island,Lac In Between47.27450708393-74.913497515954,ac In Between47.27450708393-74.913497515954,,,2
Bora Bora,"Bora Bora  BOB,Bola-bola,Bora Bora,Bora-Bora,Borabora Island,Faanui,Ile Bora-Bora,Ilha de Bora Bora,Insula Bora...-16.49667-151.74067",-168.23734,,,2
Caicos Bank,"Middle Caicos Airport  MBMC,MDS21.8258-71.8025","iddle Caicos Airport  MBMC,MDS21.8258-71.8025",,,2
Camaguey Province,"Camagüey  CMW,Camagueey,Camaguey,Camagüey,Kamaguehj,Kamaguej,Puerto Principe,kamaguei,<U+041A><U+0430><U+043C><U+0430><U+0433><U+0443><U+0435><U+0439>,<U+041A><U+0430><U+043C><U+0430><U+0433><U+0443><U+044D><U+0439>,<U+05E7><U+05DE><U+05D0><U+05D2><U+05D5><U+05D0>...21.3808333-77.9169444",21.3808333-77.9169444,,,2
Canal Zone,"El CanalCanal,El Canal20.7-75.3","l CanalCanal,El Canal20.7-75.3",,,2
Cat Cay,"Chad  Caad,Caadi,Cad,Cada,Cadas,Cadi,Cado,Chad,Chad - Tchad,Chade,Chadi,Ciad,Cjad,Colonie du Chad,Csad,Csá...15.019.0",15.019.0,,,2
Cheshire,"Cheshire  CHW,Cheshire,Zakhidnij Cheshir i Chester,Zapadnyj Cheshir i Chester,<U+0417><U+0430><U+043F><U+0430><U+0434><U+043D><U+044B><U+0439> <U+0427><U+0435><U+0448><U+0438><U+0440> <U+0438> <U+0427><U+0435><U+0441><U+0442><U+0435><U+0440>,<U+0417><U+0430><U+0445><U+0456><U+0434><U+043D><U+0438><U+0439>...53.1635196381204-2.73594501564777",53.1635196381204-2.73594501,,,2
Colon Province,"Colón  Aspinwall,Ciudad de Colon,Ciudad de Colón,Colon,Colón,Kolon,Kolona,Kolonas,ONX,gao lang,ke long,koll...9.354507-79.900109",9.354507-79.900109,,,2
Colón Province,"Colón  Aspinwall,Ciudad de Colon,Ciudad de Colón,Colon,Colón,Kolon,Kolona,Kolonas,ONX,gao lang,ke long,koll...9.354507-79.900109",9.354507-79.900109,,,2
Corfu,"Nomós Kerkýras  Corfu,Kerkira,Kerkyra,Korfu,Kérkira,Kérkyra,Nomos Kerkiras,Nomos Kerkyras,Nomós Kerkíras,<U+039A><U+03AD><U+03C1><U+03BA><U+03C5><U+03C1>a,<U+039D><U+03BF>µ...39.666666719.75",39.666666719.75,,,2
Côte d'Azur ,"Ivory Coast  Aibari Kwas,Aibori Kot,Akte Elephantodontos,Akte Elephantostou,An Costa Eabhair,An Cósta Eabhair,Aod...8.0-5.5",8.0-5.5,,,2
Cumberland,Cumberland18.105224388872696-77.41616873752429,umberland18.105224388872696-77.41616873752429,,,2
d’Étang-Salé,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,2
Dodecanese Islands,"Dodecanese  Dhodhekanisos,Dhodhekánisos,Dimos Ko,Dodecanese,Dodekanesane,Dodekanesene,Dodekanisa,Dodekanisos,Dod...36.84330727.148093",36.84330727.148093,,,2
Dorset,Dorset  -41.04788589477539147.7316665649414,orset  -41.04788589477539147.7316665649414,,,2
Duke of York Islands,"Duque de Caxias  Caxias,Duke de Kashijas,Duke de Kasijasas,Duke de Kašijasas,Duki di Kashias,Duki di Kasias,Duki-di-K...-22.78555556-43.31166667",-66.09715556,,,2
East coast,"Middle East  Mezoriento,Midden-Oosten,Middle East,Moyen-Orient,Oriente Medio,Sudokcidenta Azio,alshrq alawst,<U+0627><U+0644><U+0634><U+0631>...33.13906047538835.8586883544922",33.13906047538835.858688,,,2
East Java,"Middle East  Mezoriento,Midden-Oosten,Middle East,Moyen-Orient,Oriente Medio,Sudokcidenta Azio,alshrq alawst,<U+0627><U+0644><U+0634><U+0631>...33.13906047538835.8586883544922",33.13906047538835.858688,,,2
East New Britain Province,"Middle East  Mezoriento,Midden-Oosten,Middle East,Moyen-Orient,Oriente Medio,Sudokcidenta Azio,alshrq alawst,<U+0627><U+0644><U+0634><U+0631>...33.13906047538835.8586883544922",33.13906047538835.858688,,,2
East Sepik,"Middle East  Mezoriento,Midden-Oosten,Middle East,Moyen-Orient,Oriente Medio,Sudokcidenta Azio,alshrq alawst,<U+0627><U+0644><U+0634><U+0631>...33.13906047538835.8586883544922",33.13906047538835.858688,,,2
Eastern  Province,"Eastern Asia  Asia Oriental,Asia orientale,Asie de l'Est,Eastern Asia,Ostasien,Rytu Azija,Rytu Azija,Skhidna Azija...32.24997445586331114.609375",32.24997445586331114.60,,,2
Eastern Caroline Islands,"Eastern Asia  Asia Oriental,Asia orientale,Asie de l'Est,Eastern Asia,Ostasien,Rytu Azija,Rytu Azija,Skhidna Azija...32.24997445586331114.609375",32.24997445586331114.60,,,2
English Channel,"English River  English River,La Riviere Anglaise,La Rivière Anglaise,Riviere Anglaise-4.6117591200248155.454092025756836","nglish River  English River,La Riviere Anglaise,La Rivière Anglaise,Riviere Anglaise-4.6117591200248155.454092025756836",,,2
Gilbert Islands,"Gilbert  Gilbert,Gilbertas,Gilburt,gilbarta,gilbeoteu,girubato,gylbrt,gylbrt  aryzwna,ji er bo te,<U+0413><U+0438><U+043B><U+0431><U+0435><U+0440><U+0442>,<U+0413><U+0438><U+043B>...33.3528264-111.789027",33.3528264-111.789027,,,2
Grand Canary Island,"Grand Gedeh County  Grand Gedeh,Grand Gedeh County,Grand Jide County5.966667-8.2","rand Gedeh County  Grand Gedeh,Grand Gedeh County,Grand Jide County5.966667-8.2",,,2
Grand Terre,"Grand Gedeh County  Grand Gedeh,Grand Gedeh County,Grand Jide County5.966667-8.2","rand Gedeh County  Grand Gedeh,Grand Gedeh County,Grand Jide County5.966667-8.2",,,2
Great Exuma Island,"Great NamaqualandGreat Nama Land,Great Namaqualand,Grosz-Nama-Land-26.017.0","reat NamaqualandGreat Nama Land,Great Namaqualand,Grosz-Nama-Land-26.017.0",,,2
Gulf Province,"Gulf Province  Gulf,Gulf District,Gulf Province-7.724600166486452145.08544921875","ulf Province  Gulf,Gulf District,Gulf Province-7.724600166486452145.08544921875",,,2
Holquin Province,"Holguín  Gorad Ol'gin,HOG,Holginas,Holguin,Holguín,Holquin,Ol'gin,Olgin,ao er jin,olgini,orugin,'wlgyn,<U+0413><U+043E><U+0440><U+0430><U+0434> ...20.8872222-76.2630556",20.8872222-76.2630556,,,2
Honiara,"Honiara  Capital Territory,Honiara,Honiara City,Territoire Capitale-9.441667159.966667","oniara  Capital Territory,Honiara,Honiara City,Territoire Capitale-9.441667159.966667",,,2
Hoogly River,"The HooglyThe Hooghly,The Hoogly,The Hugli-22.35149.7166667","he HooglyThe Hooghly,The Hoogly,The Hugli-22.35149.7166667",,,2
Hua Hin,"Hualien City  HUN,Hua Lien Kang,Hua-lien,Hua-lien-chiang,Hua-lien-hsien,Hua-lien-shih,Hualian,Hualian Shi,Hualien,...23.9769444121.6044444",23.9769444121.6044444,,,2
Inhambe Province,"Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0",23.0-102.0,,,2
Ionian Sea,"Ionian Islands  Iles Ioniennes,Ionia Nisia,Ionian Islands,Ionische Inseln,Isole Ionie,ionia jedo ju,Îles Ioniennes,<U+0399>...37.7929936083479520.783051266933427",37.7929936083479520.7,,,2
Kadavu,"Kadavu  Kadavu,Province de Kadavu-18.99331178.22021","adavu  Kadavu,Province de Kadavu-18.99331178.22021",,,2
Lau Group,"Laos  Kingdom of Laos,Lane Xang,Lanxang,Lao,Lao PDR,Lao People's Democratic Republic,Lao People’s Democrat...18.0105.0",18.0105.0,,,2
Ligurian Sea,Ligurian CanyonLigurian Trough43.758.5833333,igurian CanyonLigurian Trough43.758.5833333,,,2
Limón Province,"Puerto Limón  Ciudad de Limon,Ciudad de Limón,LIO,Limon,Limonas,Limón,Pouerto Limon,Provincia de Limon,Provinsi Li...9.99074-83.03596",9.99074-83.03596,,,2
Luzon,Luzón  41.0337126837802-2.27394403694595,uzón  41.0337126837802-2.27394403694595,,,2
Maharashtra,"Maharashtra  MH,Maarastra,Macharastra,Maharashtra,Maharastra,Maharastro,Maharasztra,Maharastro,Maharastra,Maharaš...19.576.0",19.576.0,,,2
Makira-Ulawa Province,"Makira-Ulawa Province  Makira,Makira Province,Province de Makira-Ulawa-10.557514161.785171","akira-Ulawa Province  Makira,Makira Province,Province de Makira-Ulawa-10.557514161.785171",,,2
Malaga,"Málaga  Malaga,Málaga6.70748099999999-72.7710239999999","álaga  Malaga,Málaga6.70748099999999-72.7710239999999",,,2
Matanzas Province (north coast),"Matanzas  Gorad Matansas,Matansas,Matansasas,Matanzas,QMA,San Carlos y San Severino de Matanzas,VRO,ma tan sa ...23.0411111-81.5775",23.0411111-81.5775,,,2
Miyako,"Miyako-shiMiyaho-shi,Miyako,Miyako-machi,Miyako-shi,gong gu,gong gu shi,miyakoshi,<U+307F><U+3084><U+3053><U+3057>,<U+5BAE><U+53E4>,<U+5BAE><U+53E4><U+5E02>39.657237141.851436","iyako-shiMiyaho-shi,Miyako,Miyako-machi,Miyako-shi,gong gu,gong gu shi,miyakoshi,<U+307F><U+3084><U+3053><U+3057>,<U+5BAE><U+53E4>,<U+5BAE><U+53E4><U+5E02>39.657237141.851436",,,2
Miyako Island,"Miyako-rettoMiyako Group,Miyako Gunto,Miyako-retto,Miyako-retto,Miyako-shoto,Miyako-shoto,Taipinsan Group24.4125.0","iyako-rettoMiyako Group,Miyako Gunto,Miyako-retto,Miyako-retto,Miyako-shoto,Miyako-shoto,Taipinsan Group24.4125.0",,,2
Montserrado,"Montserrado County  Montserrado,Montserrado County6.5-10.566667","ontserrado County  Montserrado,Montserrado County6.5-10.566667",,,2
Near Puntarenas,"Near Islands  Bliihi Islands,Bliinies Islands,Blijni Islands,Blijnies Islands,Blizhnie Islands,Blizhnie ostrova,Bl...52.8005556173.1316667",52.8005556173.1316667,,,2
New Georgia,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,,,2
New Ireland,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,,,2
New Providence District,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,,,2
Newfoundland,"Newfoundland and Labrador  NL,New Foundland - Labrador,Newfoundland,Newfoundland & Labrador,Newfoundland and Labrador,Newfoundl...52.0-56.0",52.0-56.0,,,2
North Carolina ,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",,,2
Northern Territory ,"Northern Africa  Africa del Norte,Afrique du Nord,Noord-Afrika,Nordafrica,Nordafrika,Norte de Africa,Norte de África,...32.953368145799329.9755859375",32.953368145799329.9,,,2
Nueva Esparta,"Villa Nueva  Vil'ja-Nuehva,Vilja Nueva,Viljanueva,Villa Nueva,bi ya nu ai wa,wya nwywa  gwatymala,<U+0412><U+0438><U+043B><U+044C><U+044F>-<U+041D><U+0443><U+044D><U+0432><U+0430>,<U+0412><U+0438><U+043B>...14.525125-90.585437",14.525125-90.585437,,,2
Nuku'alofa,,,,,2
Oaxaca,"Oaxaca  Estado de Oaxaca,Estat dOaxaca,Etat de Oaxaca,Guaxaca,OAX,Oaxaca,Oaxaca osariik,Oxaca,oahaka zhou,wa...17.0-96.5",17.0-96.5,,,2
Off Libya,"Lama Stop OffLama Stop Off,Stop Off6.534904-58.018853","ama Stop OffLama Stop Off,Stop Off6.534904-58.018853",,,2
Off the coast of West Africa,"Lama Stop OffLama Stop Off,Stop Off6.534904-58.018853","ama Stop OffLama Stop Off,Stop Off6.534904-58.018853",,,2
Orissa,"Odisha  OR,Odisha,Orissa,State of Odisha,State of Orissa20.584.41667","disha  OR,Odisha,Orissa,State of Odisha,State of Orissa20.584.41667",,,2
Out Islands,"Out Skerries AirportEGOU,OUK,Out Skerries Airport60.42517-0.75121","ut Skerries AirportEGOU,OUK,Out Skerries Airport60.42517-0.75121",,,2
Paget,"Paget  Crow Lane,Paget,Paget Parish32.2783333-64.7816667","aget  Crow Lane,Paget,Paget Parish32.2783333-64.7816667",,,2
Palawan,Province of Palawan  Palawan10.0118.75,rovince of Palawan  Palawan10.0118.75,,,2
Palmyra Atoll,"Palmyra AtollAtol Palmyra,Atoll Pal'mira,Atolon Palmira,Atolon Palmyra,Atolón Palmira,Atolón Palmyra,BRUSH WW2,Br...5.875-162.055",5.875-162.055,,,2
Phoenix Islands,"Phoenix  East Phoenix,Feniks,Fenikso,Finiks,Finiksa,Finiksas,Finiksos,Foinix,Féniks,Finiksa,Gorad Finiks,Hell...33.4483771-112.0740373",33.4483771-112.0740373,,,2
Praslin,Praslin13.884693372702928-60.89649779226628,raslin13.884693372702928-60.89649779226628,,,2
Ralik Archipelago,"Ralik Chain  Groupe de Ralik,Ralic,Ralick Chain,Ralick Gruppe,Ralik Chain,Ralik-Kette,Rarikku,Rarikku Chen,Rarikk...8.0167.0",8.0167.0,,,2
Rangoon,"Rangoon  Rangoon,Rangoon Division,Region de Yangon,Région de Yangon,Yangon,Yangon Division,Yangon Region17.096.166667","angoon  Rangoon,Rangoon Division,Region de Yangon,Région de Yangon,Yangon,Yangon Division,Yangon Region17.096.166667",,,2
Rio Grande de Norte,"Rio de Janeiro  Ciutat de Rio de Janeiro,Gorad Rya-deh-Zhanehjra,RIO,Rio,Rio De Janeiro,Rio d Janeiro,Rio de Janeiro...-22.90642-43.18223",-66.08865,,,2
Rocha,"Departamento de Rocha  Departamento de Rocha,Rocha-34.0-54.0","epartamento de Rocha  Departamento de Rocha,Rocha-34.0-54.0",,,2
Saint-Benoit,"Saint-Benoît  Saint-Benoit,Saint-Benoît,Sant Beneset,Sen-Benua,sheng bang wa,<U+0421><U+0435><U+043D>-<U+0411><U+0435><U+043D><U+0443><U+0430>,<U+0633><U+06CC><U+0646><U+0679>-<U+0628><U+0646><U+0648><U+0679><U+060C> <U+0627><U+0644><U+067E><U+0633>-<U+062F><U+06D2>-<U+06C1><U+0648><U+062A><U+06D2>-<U+067E><U+0631><U+0648>...43.9672222222222266.725555555555555",43.9672222222222266.725,,,2
Saint-Benoît,"Saint-Benoît  Saint-Benoit,Saint-Benoît,Sant Beneset,Sen-Benua,sheng bang wa,<U+0421><U+0435><U+043D>-<U+0411><U+0435><U+043D><U+0443><U+0430>,<U+0633><U+06CC><U+0646><U+0679>-<U+0628><U+0646><U+0648><U+0679><U+060C> <U+0627><U+0644><U+067E><U+0633>-<U+062F><U+06D2>-<U+06C1><U+0648><U+062A><U+06D2>-<U+067E><U+0631><U+0648>...43.9672222222222266.725555555555555",43.9672222222222266.725,,,2
Saint-Joseph,Saint Joseph  Saint Joseph15.4333333-61.4333333,aint Joseph  Saint Joseph15.4333333-61.4333333,,,2
Saint-Philippe,Saint-Philippe46.339461803-72.547718983,aint-Philippe46.339461803-72.547718983,,,2
San Blas Islands,"San José  Gorad San-Khaseh,SJO,San Chose,San Chose,San Hose,San Jose,San Jose de Costa Rica,San Jose i Costa R...9.9333333-84.0833333",9.9333333-84.0833333,,,2
Sea of Japan,"Black Sea Region  Karadeniz Bolgesi,Karadeniz Bölgesi41.25206436.960735","lack Sea Region  Karadeniz Bolgesi,Karadeniz Bölgesi41.25206436.960735",,,2
South Devon,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",,,2
Southland,Southland CountySouthland-46.0168.6666667,outhland CountySouthland-46.0168.6666667,,,2
St Michael Parish,"St Petersburg  Agia Petroupole,Betuyrbukh,LED,Leningrad,Leningrado,Lungsod ng Sankt-Peterburg,Peterburg,Peterburgo,...59.9386330.31413",59.9386330.31413,,,2
Sussex,Sussex50.9166667-0.0833333,ussex50.9166667-0.0833333,,,2
